municipio_id,anio,poblacion
6056,2011,304829
6063,2011,44349
6070,2011,33325
6084,2011,20440
6091,2011,330277
6098,2011,89877
6105,2011,34626
6112,2011,41756
6119,2011,26960
6126,2011,96152
6134,2011,53205
6140,2011,14767
6147,2011,22544
6154,2011,11679
6161,2011,14888
6168,2011,8312
6210,2011,49431
6218,2011,37250
6224,2011,65066
6175,2011,25276
6182,2011,62796
6189,2011,15911
6196,2011,23068
6203,2011,38812
6231,2011,17138
6238,2011,27406
6245,2011,57615
6252,2011,218766
6260,2011,308861
6266,2011,30591
6270,2011,169284
6274,2011,436751
6277,2011,9007
6280,2011,40293
6287,2011,11260
6294,2011,15044
6301,2011,17665
6308,2011,2847
6315,2011,20062
6322,2011,10866
6329,2011,15215
6336,2011,3792
6343,2011,11343
6351,2011,11379
6357,2011,627723
6364,2011,89700
6371,2011,418790
6385,2011,18288
6392,2011,31324
6399,2011,11988
6406,2011,9722
6408,2011,183764
6410,2011,170292
6412,2011,271557
6413,2011,92712
6420,2011,70933
6427,2011,1830526
6441,2011,664746
6434,2011,463478
6448,2011,10353
6455,2011,24127
6462,2011,16995
6469,2011,42216
6476,2011,17736
6483,2011,36765
6490,2011,624289
6497,2011,108250
6505,2011,19121
6511,2011,10263
6515,2011,328087
6518,2011,21782
6525,2011,55618
6532,2011,64184
6539,2011,539009
6547,2011,21357
6553,2011,6630
6560,2011,463151
6568,2011,323680
6574,2011,17293
6581,2011,93970
6588,2011,48217
6595,2011,113339
6602,2011,30610
6609,2011,40249
6616,2011,5929
6623,2011,105906
6630,2011,3697
6638,2011,307852
6644,2011,26410
6648,2011,83780
6651,2011,15816
6655,2011,10028
6658,2011,594412
6665,2011,33697
6672,2011,15385
6679,2011,16430
6686,2011,23705
6693,2011,12535
6700,2011,21028
6707,2011,32627
6721,2011,8721
6714,2011,33260
6728,2011,23440
6735,2011,23504
6742,2011,8503
6749,2011,165554
6756,2011,295428
6760,2011,280822
6763,2011,147855
6770,2011,59911
6778,2011,61374
6784,2011,10280
6791,2011,126170
6798,2011,9330
6805,2011,386131
6812,2011,1783
6819,2011,12929
6826,2011,43676
6833,2011,57502
6840,2011,343441
6847,2011,8471
6854,2011,36247
6861,2011,271677
6868,2011,32499
6875,2011,31710
6882,2011,116345
6007,2012,17276
6014,2012,12116
6021,2012,10799
6028,2012,565509
6077,2012,29690
6035,2012,347924
6042,2012,20671
6049,2012,66221
6056,2012,305445
6063,2012,44506
6070,2012,33677
6084,2012,20450
6091,2012,334458
6098,2012,90675
6105,2012,34783
6112,2012,41801
6119,2012,27436
6126,2012,97252
6134,2012,54342
6140,2012,14957
6147,2012,22680
6154,2012,11678
6161,2012,14967
6168,2012,8354
6210,2012,49806
6218,2012,37622
6224,2012,65458
6175,2012,25487
6182,2012,62880
6189,2012,15829
6196,2012,22965
6203,2012,38988
6231,2012,17263
6238,2012,27559
6245,2012,58103
6252,2012,223018
6260,2012,316567
6266,2012,31288
6270,2012,175333
6274,2012,446287
6277,2012,9082
6280,2012,40744
6287,2012,11286
6294,2012,15047
6301,2012,17856
6308,2012,2852
6315,2012,20241
6322,2012,10839
6329,2012,15472
6336,2012,3870
6343,2012,11392
6351,2012,11394
6357,2012,631064
6364,2012,92041
6371,2012,419531
6385,2012,18343
6392,2012,31555
6399,2012,12058
6406,2012,9784
6408,2012,184914
6410,2012,171536
6412,2012,275801
6413,2012,92811
6420,2012,71826
6427,2012,1883251
6441,2012,670477
6434,2012,463401
6448,2012,10417
6455,2012,24157
6462,2012,17047
6469,2012,42227
6476,2012,17799
6483,2012,37132
6490,2012,627150
6497,2012,109603
6505,2012,19315
6511,2012,10275
6515,2012,331834
6518,2012,22199
6525,2012,56887
6532,2012,64607
6539,2012,546383
6547,2012,21638
6553,2012,6718
6560,2012,472015
6568,2012,323076
6574,2012,17399
6581,2012,94207
6588,2012,48283
6595,2012,114137
6602,2012,30773
6609,2012,40389
6616,2012,5960
6623,2012,106387
6630,2012,3728
6638,2012,316084
6644,2012,27015
6648,2012,86372
6651,2012,15761
6655,2012,10093
6658,2012,602436
6665,2012,34173
6672,2012,15476
6679,2012,16515
6686,2012,23779
6693,2012,12692
6700,2012,21135
6707,2012,32936
6721,2012,8730
6714,2012,33676
6728,2012,23709
6735,2012,23708
6742,2012,8537
6749,2012,166646
6756,2012,294992
6760,2012,283603
6763,2012,148727
6770,2012,60352
6778,2012,63222
6784,2012,10424
6791,2012,127689
6798,2012,9421
6805,2012,395623
6812,2012,1785
6819,2012,13048
6826,2012,44025
6833,2012,57510
6840,2012,343537
6847,2012,8508
6854,2012,36343
6861,2012,271078
6868,2012,33147
6875,2012,32251
6882,2012,117720
6007,2013,17303
6014,2013,12091
6021,2013,10824
6028,2013,569911
6077,2013,29905
6035,2013,348999
6042,2013,20752
6049,2013,66411
6056,2013,306056
6063,2013,44662
6070,2013,34027
6084,2013,20461
6091,2013,338647
6098,2013,91466
6105,2013,34939
6112,2013,41846
6119,2013,27906
6126,2013,98340
6134,2013,55468
6140,2013,15144
6147,2013,22815
6154,2013,11677
6161,2013,15044
6168,2013,8396
6210,2013,50179
6218,2013,37991
6224,2013,65845
6175,2013,25695
6182,2013,62962
6189,2013,15747
6196,2013,22861
6203,2013,39163
6231,2013,17387
6238,2013,27711
6245,2013,58585
6252,2013,227205
6260,2013,323806
6266,2013,31978
6270,2013,181122
6274,2013,455672
6277,2013,9155
6280,2013,41191
6287,2013,11311
6294,2013,15048
6301,2013,18045
6308,2013,2857
6315,2013,20419
6322,2013,10814
6329,2013,15727
6336,2013,3947
6343,2013,11441
6351,2013,11409
6357,2013,634372
6364,2013,94357
6371,2013,420271
6385,2013,18397
6392,2013,31784
6399,2013,12127
6406,2013,9847
6408,2013,186052
6410,2013,172766
6412,2013,279999
6413,2013,92911
6420,2013,72708
6427,2013,1935394
6441,2013,676195
6434,2013,463325
6448,2013,10481
6455,2013,24186
6462,2013,17099
6469,2013,42238
6476,2013,17863
6483,2013,37496
6490,2013,630029
6497,2013,110942
6505,2013,19508
6511,2013,10288
6515,2013,335491
6518,2013,22612
6525,2013,58145
6532,2013,65025
6539,2013,554007
6547,2013,21915
6553,2013,6807
6560,2013,481041
6568,2013,322489
6574,2013,17505
6581,2013,94442
6588,2013,48347
6595,2013,114926
6602,2013,30935
6609,2013,40527
6616,2013,5972
6623,2013,106863
6630,2013,3760
6638,2013,324228
6644,2013,27614
6648,2013,88936
6651,2013,15668
6655,2013,10156
6658,2013,610259
6665,2013,34644
6672,2013,15566
6679,2013,16589
6686,2013,23852
6693,2013,12848
6700,2013,21242
6707,2013,33241
6721,2013,8740
6714,2013,34087
6728,2013,23976
6735,2013,23910
6742,2013,8571
6749,2013,167726
6756,2013,294597
6760,2013,286386
6763,2013,149589
6770,2013,60788
6778,2013,65051
6784,2013,10567
6791,2013,129214
6798,2013,9510
6805,2013,404649
6812,2013,1788
6819,2013,13165
6826,2013,44369
6833,2013,57520
6840,2013,343617
6847,2013,8562
6854,2013,36439
6861,2013,270598
6868,2013,33788
6875,2013,32784
6882,2013,119081
6007,2014,17330
6014,2014,12065
6021,2014,10850
6028,2014,574263
6077,2014,30117
6035,2014,350080
6042,2014,20832
6049,2014,66598
6056,2014,306657
6063,2014,44816
6070,2014,34371
6084,2014,20472
6091,2014,342682
6098,2014,92246
6105,2014,35092
6112,2014,41891
6119,2014,28371
6126,2014,99415
6134,2014,56579
6140,2014,15329
6147,2014,22947
6154,2014,11676
6161,2014,15121
6168,2014,8437
6210,2014,50546
6218,2014,38356
6224,2014,66228
6175,2014,25901
6182,2014,63044
6189,2014,15668
6196,2014,22760
6203,2014,39336
6231,2014,17508
