anio,municipio_id,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2012.0,6028.0,124.0,135.0,144.0,307.0,212.0,76773.0,74923.0,22680.0,60420.0,47978.0
2013.0,6028.0,122.0,135.0,145.0,328.0,215.0,76881.0,74474.0,22611.0,60531.0,48089.0
2014.0,6028.0,124.0,135.0,145.0,329.0,216.0,77203.0,74667.0,22273.0,60805.0,48413.0
2015.0,6028.0,126.0,135.0,144.0,329.0,217.0,77749.0,74873.0,21887.0,61206.0,48874.0
2016.0,6028.0,129.0,135.0,145.0,330.0,219.0,78435.0,75106.0,22148.0,61248.0,48558.0
2017.0,6028.0,129.0,135.0,141.0,316.0,214.0,79202.0,75274.0,22358.0,61447.0,48977.0
2018.0,6028.0,131.0,135.0,139.0,319.0,207.0,79422.0,75956.0,23626.0,61253.0,49478.0
2019.0,6028.0,131.0,135.0,137.0,321.0,201.0,81772.0,77484.0,24503.0,61606.0,49970.0
2020.0,6028.0,132.0,135.0,137.0,317.0,201.0,80844.0,77343.0,24024.0,62010.0,50301.0
2021.0,6028.0,132.0,135.0,137.0,317.0,196.0,80101.0,77295.0,21938.0,62102.0,52769.0
2022.0,6028.0,133.0,137.0,137.0,326.0,198.0,79987.0,77794.0,22523.0,61498.0,52348.0
2023.0,6028.0,134.0,137.0,137.0,330.0,197.0,83030.0,79372.0,22155.0,60511.0,51716.0
2011.0,6077.0,17.0,20.0,13.0,64.0,4.0,4564.0,4424.0,1493.0,3120.0,1869.0
2012.0,6077.0,17.0,20.0,11.0,62.0,4.0,4576.0,4489.0,1499.0,3082.0,1889.0
2013.0,6077.0,17.0,20.0,10.0,62.0,4.0,4586.0,4510.0,1514.0,3051.0,1799.0
2014.0,6077.0,17.0,20.0,10.0,62.0,4.0,4743.0,4443.0,1593.0,3042.0,1821.0
2015.0,6077.0,17.0,20.0,9.0,61.0,4.0,4706.0,4519.0,1582.0,3022.0,1892.0
2016.0,6077.0,17.0,20.0,9.0,61.0,4.0,4741.0,4544.0,1630.0,2984.0,1910.0
2017.0,6077.0,17.0,20.0,9.0,60.0,4.0,4750.0,4536.0,1594.0,3046.0,1999.0
2018.0,6077.0,17.0,20.0,8.0,59.0,4.0,4804.0,4759.0,1645.0,3077.0,2202.0
2019.0,6077.0,17.0,20.0,8.0,58.0,4.0,4818.0,4802.0,1650.0,3097.0,2215.0
2020.0,6077.0,18.0,20.0,8.0,59.0,4.0,4892.0,4782.0,1708.0,3093.0,2238.0
2021.0,6077.0,18.0,20.0,8.0,58.0,4.0,4758.0,4760.0,1648.0,3095.0,2238.0
2022.0,6077.0,18.0,20.0,8.0,59.0,4.0,4756.0,4857.0,1679.0,3056.0,2132.0
2023.0,6077.0,19.0,20.0,8.0,60.0,4.0,4918.0,4973.0,1605.0,3051.0,2167.0
2011.0,6035.0,117.0,92.0,89.0,289.0,135.0,57617.0,54709.0,17386.0,37094.0,27355.0
2012.0,6035.0,117.0,92.0,88.0,294.0,136.0,57351.0,56212.0,17302.0,36709.0,27953.0
2013.0,6035.0,118.0,92.0,85.0,302.0,137.0,57537.0,57238.0,17828.0,36495.0,28555.0
2014.0,6035.0,118.0,92.0,78.0,297.0,137.0,57936.0,57690.0,18368.0,36221.0,28117.0
2015.0,6035.0,120.0,93.0,76.0,299.0,140.0,58174.0,57845.0,18601.0,36282.0,28606.0
2016.0,6035.0,119.0,93.0,74.0,297.0,135.0,58777.0,58502.0,18405.0,36467.0,29134.0
2017.0,6035.0,122.0,92.0,71.0,288.0,136.0,59179.0,58101.0,18383.0,36567.0,29045.0
2018.0,6035.0,121.0,92.0,71.0,286.0,137.0,58618.0,57659.0,18576.0,36680.0,29347.0
2019.0,6035.0,121.0,93.0,70.0,285.0,139.0,60232.0,57656.0,18159.0,37031.0,29528.0
2020.0,6035.0,122.0,93.0,68.0,273.0,139.0,59767.0,56950.0,17412.0,37430.0,29654.0
2021.0,6035.0,122.0,93.0,68.0,268.0,138.0,59063.0,55715.0,15590.0,37331.0,31153.0
2022.0,6035.0,120.0,93.0,68.0,267.0,136.0,58245.0,55526.0,15461.0,36736.0,30285.0
2023.0,6035.0,118.0,92.0,67.0,272.0,133.0,57085.0,55331.0,14494.0,36219.0,30485.0
2011.0,6042.0,13.0,36.0,10.0,76.0,3.0,4077.0,5309.0,1015.0,2223.0,1406.0
2012.0,6042.0,13.0,36.0,10.0,76.0,3.0,4548.0,4195.0,1040.0,2272.0,1473.0
2013.0,6042.0,13.0,36.0,10.0,77.0,3.0,4647.0,4486.0,1069.0,2214.0,1478.0
2014.0,6042.0,17.0,36.0,10.0,81.0,3.0,4704.0,4562.0,1090.0,2280.0,1427.0
2015.0,6042.0,17.0,36.0,10.0,81.0,3.0,4937.0,5015.0,1080.0,2302.0,1453.0
2016.0,6042.0,17.0,36.0,10.0,81.0,3.0,4521.0,4116.0,1036.0,2306.0,1472.0
2017.0,6042.0,17.0,36.0,10.0,81.0,3.0,4679.0,4056.0,1003.0,2234.0,1491.0
2018.0,6042.0,17.0,35.0,10.0,79.0,3.0,4746.0,3962.0,1056.0,2184.0,1539.0
2019.0,6042.0,17.0,35.0,10.0,79.0,3.0,4827.0,4152.0,1075.0,2225.0,1582.0
2020.0,6042.0,18.0,35.0,10.0,77.0,5.0,4836.0,4037.0,1141.0,2180.0,1586.0
2021.0,6042.0,18.0,36.0,10.0,77.0,5.0,4895.0,4276.0,1078.0,2164.0,1701.0
2022.0,6042.0,20.0,36.0,10.0,80.0,5.0,4945.0,4004.0,1075.0,2146.0,1787.0
2023.0,6042.0,20.0,36.0,10.0,79.0,5.0,4666.0,4092.0,967.0,2138.0,1771.0
2011.0,6049.0,40.0,60.0,25.0,146.0,33.0,12924.0,11421.0,3501.0,6936.0,5191.0
2012.0,6049.0,42.0,59.0,23.0,149.0,31.0,13184.0,11695.0,3493.0,6994.0,5343.0
2013.0,6049.0,42.0,58.0,22.0,150.0,31.0,13438.0,11678.0,3531.0,6914.0,5314.0
2014.0,6049.0,43.0,57.0,23.0,154.0,31.0,13283.0,11473.0,3634.0,6832.0,5331.0
2015.0,6049.0,40.0,57.0,24.0,156.0,28.0,13197.0,11397.0,3466.0,6679.0,5390.0
2016.0,6049.0,40.0,56.0,23.0,155.0,28.0,13217.0,11738.0,3459.0,6600.0,5458.0
2017.0,6049.0,40.0,56.0,23.0,152.0,28.0,13237.0,12003.0,3507.0,6664.0,5463.0
