anio,municipio_id,municipio_nombre,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2012,06357,General Pueyrredón,185,170,154,461,302,99847,92767,27588,63601,48874
2013,06357,General Pueyrredón,185,169,159,481,305,99134,93929,27797,63221,49209
2014,06357,General Pueyrredón,184,168,157,489,301,99955,94228,28101,62798,48891
2015,06357,General Pueyrredón,186,171,158,490,311,100881,95120,28177,62172,49129
2016,06357,General Pueyrredón,185,171,158,488,306,101010,95963,28201,61233,49662
2017,06357,General Pueyrredón,183,172,160,466,307,102050,95558,28585,60814,50527
2018,06357,General Pueyrredón,183,171,159,466,302,101357,95565,28840,60217,51463
2019,06357,General Pueyrredón,183,172,159,463,300,104066,96684,28670,59816,52096
2020,06357,General Pueyrredón,182,171,160,443,298,101119,93477,27639,59830,52546
2021,06357,General Pueyrredón,178,170,161,452,296,102290,95425,24952,60013,53762
2022,06357,General Pueyrredón,178,169,160,451,291,101923,93309,25288,59636,52631
2023,06357,General Pueyrredón,179,167,160,451,293,99932,95017,24286,59150,51793
2011,06364,General Rodríguez,27,30,30,91,26,16558,15915,4973,12227,8847
2012,06364,General Rodríguez,29,31,30,92,30,16402,16503,5332,12621,9036
2013,06364,General Rodríguez,29,31,30,92,30,16808,17061,5459,13228,9338
2014,06364,General Rodríguez,30,31,30,95,30,17321,17580,5570,13723,9474
2015,06364,General Rodríguez,31,31,29,94,30,17993,18411,5972,14429,9628
2016,06364,General Rodríguez,32,31,30,96,30,18919,18907,6145,15049,10169
2017,06364,General Rodríguez,33,32,30,95,31,19840,19865,6843,15963,10863
2018,06364,General Rodríguez,33,32,30,95,32,21979,20845,6900,16611,11294
2019,06364,General Rodríguez,36,32,30,98,31,22997,22070,7210,17217,12009
2020,06364,General Rodríguez,34,32,30,93,29,22745,22131,6999,17928,12847
2021,06364,General Rodríguez,36,33,31,95,31,23322,23330,7305,18686,13954
2022,06364,General Rodríguez,36,33,31,99,31,24750,23811,7376,18918,14898
2023,06364,General Rodríguez,37,33,30,101,34,25526,24910,7388,18929,15365
2011,06371,General San Martín,99,96,101,259,161,54117,52497,16431,37288,29086
2012,06371,General San Martín,98,96,97,256,156,55318,50966,16385,36975,28960
2013,06371,General San Martín,98,96,93,262,156,54712,52159,16473,36910,28773
2014,06371,General San Martín,96,95,94,264,153,54854,52697,16672,36567,28996
2015,06371,General San Martín,97,95,91,261,153,55271,52301,16457,36604,29011
2016,06371,General San Martín,97,95,91,259,153,54843,53253,16861,36353,29296
2017,06371,General San Martín,97,95,91,254,156,57195,54125,16968,36226,29563
2018,06371,General San Martín,97,96,91,252,156,57229,54999,16773,36790,29885
2019,06371,General San Martín,98,96,89,253,153,59569,56798,16496,37074,30082
2020,06371,General San Martín,98,96,88,245,154,57908,55551,15680,37231,30114
2021,06371,General San Martín,99,96,88,246,153,56230,53133,14146,36631,30928
2022,06371,General San Martín,100,96,88,247,155,55299,52760,14350,36310,30608
2023,06371,General San Martín,100,97,88,253,152,53765,52114,13640,35346,30105
2011,06385,General Viamonte,17,22,5,54,6,3761,3839,866,1806,1142
2012,06385,General Viamonte,17,22,5,54,6,3762,3528,886,1748,1096
2013,06385,General Viamonte,17,22,5,55,6,3789,3844,916,1716,1046
2014,06385,General Viamonte,17,20,5,53,6,3481,3572,935,1712,1032
2015,06385,General Viamonte,16,19,5,51,6,3605,3569,927,1679,1044
2016,06385,General Viamonte,16,19,6,53,6,3658,3930,936,1653,1050
2017,06385,General Viamonte,16,19,5,51,6,3968,3668,927,1702,1035
2018,06385,General Viamonte,15,19,6,52,6,4083,3915,975,1674,1088
2019,06385,General Viamonte,15,18,5,50,6,4144,3931,992,1668,1066
2020,06385,General Viamonte,15,18,5,47,6,4130,3824,991,1676,1028
2021,06385,General Viamonte,15,18,5,48,6,4037,3324,937,1729,1114
2022,06385,General Viamonte,15,19,5,49,6,3888,3440,887,1761,1014
2023,06385,General Viamonte,15,19,5,49,6,4234,3651,817,1740,1067
2011,06392,General Villegas,31,36,14,96,5,5655,5569,1670,3533,2318
2012,06392,General Villegas,31,36,13,95,5,5311,5186,1735,3417,2381
2013,06392,General Villegas,29,34,13,93,5,5550,5472,1716,3413,2586
2014,06392,General Villegas,30,34,14,93,5,5433,5165,1731,3468,2696
2015,06392,General Villegas,30,34,14,91,5,5384,5271,1704,3452,2609
2016,06392,General Villegas,31,34,14,91,5,5754,5269,1702,3412,2685
2017,06392,General Villegas,31,34,13,92,5,5536,5201,1711,3361,2635
2018,06392,General Villegas,31,33,13,91,5,5406,5107,1750,3326,2604
2019,06392,General Villegas,31,33,13,91,5,5591,5463,1740,3338,2549
2020,06392,General Villegas,31,33,13,90,5,5689,5473,1703,3321,2651
2021,06392,General Villegas,31,33,13,90,5,5650,5372,1604,3310,2692
2022,06392,General Villegas,30,32,14,89,5,5798,5347,1574,3245,2650
2023,06392,General Villegas,30,32,15,91,5,5770,5379,1551,3181,2666
2011,06399,Guaminí,15,18,6,58,,2238,2137,629,1185,882
2012,06399,Guaminí,15,18,5,61,,2318,2114,617,1177,871
2013,06399,Guaminí,15,18,5,62,,2406,2108,631,1187,868
2014,06399,Guaminí,15,18,5,62,,2377,2136,614,1167,898
2015,06399,Guaminí,15,18,5,65,,2289,2139,611,1134,861
2016,06399,Guaminí,15,18,5,67,,2416,2239,650,1080,803
2017,06399,Guaminí,15,18,5,67,,2406,2027,656,1055,759
2018,06399,Guaminí,15,18,5,66,,2584,2186,667,1044,740
2019,06399,Guaminí,15,18,5,64,,2588,2194,653,1036,764
2020,06399,Guaminí,15,18,5,62,,2699,2239,631,1060,762
2021,06399,Guaminí,15,18,5,62,,2554,2207,619,1057,776
2022,06399,Guaminí,15,18,5,62,,2736,2113,603,1063,726
2023,06399,Guaminí,16,18,5,63,,2558,2216,580,1054,701
2011,06406,Hipólito Yrigoyen,6,10,6,31,5,1982,1765,481,991,771
2012,06406,Hipólito Yrigoyen,6,10,6,31,5,1989,1869,500,960,802
2013,06406,Hipólito Yrigoyen,6,10,6,31,5,1786,1677,525,930,757
2014,06406,Hipólito Yrigoyen,6,10,6,31,5,2000,1778,502,943,788
2015,06406,Hipólito Yrigoyen,6,10,4,30,5,1881,1644,507,907,741
2016,06406,Hipólito Yrigoyen,6,8,4,28,5,1880,1677,479,932,701
2017,06406,Hipólito Yrigoyen,6,8,4,28,5,1800,1644,470,937,662
2018,06406,Hipólito Yrigoyen,6,8,4,28,5,1921,1614,528,910,628
2019,06406,Hipólito Yrigoyen,6,8,4,27,5,1889,1700,564,923,697
2020,06406,Hipólito Yrigoyen,6,8,3,23,5,1973,1754,559,924,698
2021,06406,Hipólito Yrigoyen,6,8,3,25,5,1724,1517,500,943,695
2022,06406,Hipólito Yrigoyen,6,8,3,26,5,1930,1596,480,902,669
2023,06406,Hipólito Yrigoyen,6,8,3,25,5,2093,1656,439,885,656
2011,06408,Hurlingham,46,46,44,112,80,22415,21471,7748,16675,11638
2012,06408,Hurlingham,47,46,42,111,82,22747,21790,7907,16594,11529
2013,06408,Hurlingham,46,46,42,116,80,22419,21775,7766,16550,11720
2014,06408,Hurlingham,46,46,42,116,78,22489,21955,7784,16543,11825
2015,06408,Hurlingham,46,46,41,127,68,22312,21869,8068,16391,11385
2016,06408,Hurlingham,47,46,42,133,67,22637,22296,8112,16350,11645
2017,06408,Hurlingham,46,46,42,125,68,23072,22562,8220,16036,12080
2018,06408,Hurlingham,46,46,41,124,65,23125,22438,8081,16075,12295
2019,06408,Hurlingham,46,46,41,122,65,23038,22367,7826,16132,12265
2020,06408,Hurlingham,47,46,41,122,64,22860,22580,7612,16286,12280
2021,06408,Hurlingham,46,46,41,126,65,23850,22787,6774,16295,12489
2022,06408,Hurlingham,47,46,41,127,66,22440,22429,6716,15997,12601
2023,06408,Hurlingham,48,46,41,131,67,22547,22676,6377,15814,12330
2011,06410,Ituzaingó,50,45,51,93,96,21587,22191,7429,15764,12927
2012,06410,Ituzaingó,50,45,51,93,95,21440,22097,7560,15919,13224
2013,06410,Ituzaingó,50,45,50,95,95,21439,21933,7488,15829,13398
2014,06410,Ituzaingó,50,45,50,96,95,21912,22143,7728,15749,13616
2015,06410,Ituzaingó,50,45,49,98,96,21742,22453,7723,15748,13686
2016,06410,Ituzaingó,49,45,50,97,99,21722,22489,7687,15674,13585
2017,06410,Ituzaingó,50,45,48,94,100,22068,22565,7741,15576,13702
2018,06410,Ituzaingó,50,45,47,93,99,22362,22924,7786,15479,13930
2019,06410,Ituzaingó,50,45,46,90,97,22484,23109,7777,15578,14207
2020,06410,Ituzaingó,50,45,46,91,96,22273,22871,7398,15561,14097
2021,06410,Ituzaingó,50,45,46,90,96,22593,22634,6679,15528,14393
2022,06410,Ituzaingó,50,45,46,91,97,21272,22417,6522,15389,14246
2023,06410,Ituzaingó,49,44,45,88,93,20770,21702,5952,14848,13899
2011,06412,José C. Paz,45,60,64,140,74,40939,39190,8406,33738,25270
2012,06412,José C. Paz,46,60,64,141,75,41430,39543,8698,33915,26249
2013,06412,José C. Paz,47,61,63,144,77,42894,39938,9011,34095,26884
2014,06412,José C. Paz,50,60,57,140,76,42912,41226,9297,34658,26703
2015,06412,José C. Paz,51,60,57,145,74,43782,41786,9716,34940,27196
2016,06412,José C. Paz,52,60,58,147,74,43717,42074,10001,35301,27706
2017,06412,José C. Paz,53,60,58,146,75,45514,43583,10450,35854,28119
2018,06412,José C. Paz,56,60,58,143,78,44839,42722,10759,36581,28439
2019,06412,José C. Paz,56,60,58,146,76,48208,45730,10726,37488,28840
2020,06412,José C. Paz,56,61,58,142,76,46489,45137,10498,38152,29890
2021,06412,José C. Paz,55,61,58,143,72,47592,45795,10035,38668,31801
2022,06412,José C. Paz,55,62,58,145,73,47200,46448,10619,38520,31827
2023,06412,José C. Paz,54,63,57,146,72,46429,45924,10199,38444,31505
2011,06413,Junín,41,44,32,146,30,17674,16442,4644,8883,7163
2012,06413,Junín,42,44,32,146,30,17450,16778,4713,8958,7847
2013,06413,Junín,45,44,31,155,32,17951,17020,4983,9047,7714
2014,06413,Junín,44,44,30,152,31,17423,16755,4950,9106,7206
2015,06413,Junín,44,44,30,151,31,17900,16967,4955,9099,7283
2016,06413,Junín,44,44,30,152,31,17797,17344,4960,9149,7337
2017,06413,Junín,43,45,30,144,31,18125,17047,4894,9333,7502
2018,06413,Junín,43,45,30,144,31,18502,17889,4897,9270,7266
2019,06413,Junín,43,45,31,149,31,17281,17010,4937,9404,7530
2020,06413,Junín,43,45,31,142,31,17402,16505,4839,9312,7648
2021,06413,Junín,42,46,31,140,31,17438,15478,4626,9350,7907
2022,06413,Junín,42,46,31,139,30,17793,15540,4552,9399,7959
2023,06413,Junín,42,46,31,145,30,17328,16702,4333,9285,7847
2011,06420,La Costa,24,23,23,83,21,12124,11774,3471,8660,6435
2012,06420,La Costa,24,23,21,81,21,13242,11948,3491,8785,6730
2013,06420,La Costa,24,23,20,87,21,13294,12196,3721,8925,6718
2014,06420,La Costa,24,23,20,86,21,13354,12594,3822,8984,6614
2015,06420,La Costa,25,23,20,86,22,13585,12829,3873,9121,6786
2016,06420,La Costa,26,23,20,89,22,14501,13596,4093,9217,7021
2017,06420,La Costa,27,23,21,86,25,14774,13723,4266,9321,7218
2018,06420,La Costa,27,24,21,85,25,14729,13746,4341,9381,7723
2019,06420,La Costa,27,24,19,83,24,14640,13942,4295,9479,7646
2020,06420,La Costa,27,24,18,79,23,15089,14246,4133,9764,7963
2021,06420,La Costa,27,24,18,78,23,15050,14192,3855,10050,8428
2022,06420,La Costa,27,25,19,79,23,14733,14262,3993,10185,8417
2023,06420,La Costa,27,24,19,79,22,15093,14335,3862,10138,8399
2011,06427,La Matanza,287,324,340,813,439,196770,191549,49501,154531,122469
2012,06427,La Matanza,290,325,336,820,442,202000,194003,50671,156023,126016
2013,06427,La Matanza,291,327,332,842,444,200739,196101,51402,156664,126988
2014,06427,La Matanza,295,327,329,851,440,204310,199023,52214,158546,126029
2015,06427,La Matanza,298,330,329,867,444,206109,201071,53304,159488,127627
2016,06427,La Matanza,298,332,327,876,445,210479,204629,53871,161078,129065
2017,06427,La Matanza,298,333,321,856,440,214640,209011,54027,162664,128961
2018,06427,La Matanza,300,333,323,833,444,217325,210492,55501,163937,130600
2019,06427,La Matanza,299,334,317,833,434,227133,216739,54504,165023,133394
2020,06427,La Matanza,300,334,318,822,432,226532,216053,53248,166562,136386
2021,06427,La Matanza,324,333,317,858,431,229265,218602,52838,166330,141653
2022,06427,La Matanza,324,333,317,859,433,225987,217232,53616,164937,142337
2023,06427,La Matanza,326,334,318,874,434,225832,217119,52479,162909,143029
2011,06441,La Plata,206,176,188,542,333,111067,105384,33941,70099,50899
2012,06441,La Plata,206,179,179,542,326,112248,108440,34939,71729,51463
2013,06441,La Plata,206,180,178,567,325,115506,107518,35179,72649,52346
2014,06441,La Plata,211,182,181,577,328,114930,108989,35941,73553,53077
2015,06441,La Plata,215,182,180,576,329,120883,112179,36632,74375,54040
2016,06441,La Plata,220,186,183,578,349,122590,114209,37041,75094,55110
2017,06441,La Plata,224,188,184,561,356,127836,116168,37587,76104,55956
2018,06441,La Plata,228,192,186,567,357,130581,117794,38316,76986,57881
2019,06441,La Plata,234,192,187,571,366,133875,122962,37904,77694,58966
2020,06441,La Plata,236,194,188,553,371,131943,119051,36416,78515,60756
2021,06441,La Plata,230,196,189,549,364,131269,117320,34080,79180,63538
2022,06441,La Plata,232,199,191,558,365,132497,120516,34087,79063,64313
2023,06441,La Plata,235,201,198,564,366,135029,121643,32959,78249,67007
2011,06434,Lanús,126,115,120,296,197,58792,57723,19545,43402,33805
2012,06434,Lanús,121,115,118,296,186,57838,57249,19518,43284,34296
2013,06434,Lanús,120,115,118,311,188,57314,57303,19597,43065,34209
2014,06434,Lanús,119,115,119,309,189,57963,57418,19914,43124,34798
2015,06434,Lanús,119,115,116,311,186,57685,58039,19579,43384,34939
2016,06434,Lanús,121,115,116,314,184,58549,59082,19711,43544,36077
2017,06434,Lanús,119,115,111,294,185,58795,59108,19871,43744,36184
2018,06434,Lanús,119,115,108,299,180,59850,59455,20119,43517,36309
2019,06434,Lanús,120,115,106,299,175,60048,59637,19811,43848,36613
2020,06434,Lanús,121,116,105,290,179,59877,59507,18762,44015,36366
2021,06434,Lanús,119,116,105,287,177,59115,58170,16676,43381,37598
2022,06434,Lanús,119,116,104,285,176,58027,57723,16534,42131,37413
2023,06434,Lanús,118,117,104,294,175,57188,56657,15838,41182,36918
2011,06448,Laprida,12,16,4,46,,2482,2344,541,1185,703
2012,06448,Laprida,12,17,2,44,,2346,2263,561,1155,749
2013,06448,Laprida,12,17,2,45,,2393,2203,566,1146,788
2014,06448,Laprida,12,17,2,47,,2380,2213,580,1130,771
2015,06448,Laprida,12,16,2,46,,2487,2335,586,1129,764
2016,06448,Laprida,12,16,2,45,,2498,2407,613,1119,733
2017,06448,Laprida,11,16,2,43,,2284,2094,616,1106,721
2018,06448,Laprida,11,16,2,43,,2249,2178,623,1130,738
2019,06448,Laprida,11,16,2,44,,2515,2332,639,1153,762
2020,06448,Laprida,11,16,2,43,,2220,2265,625,1174,791
2021,06448,Laprida,11,16,2,44,,2149,1980,602,1130,782
2022,06448,Laprida,11,16,2,44,,2466,2335,584,1148,742
2023,06448,Laprida,11,16,2,44,,2437,2308,541,1165,700
2011,06455,Las Flores,14,40,6,68,5,4425,4374,1119,2383,1402
2012,06455,Las Flores,14,40,5,71,5,4871,4339,1177,2454,1367
2013,06455,Las Flores,14,40,5,70,5,4463,4246,1206,2415,1423
2014,06455,Las Flores,14,40,6,71,5,4661,4354,1231,2420,1496
2015,06455,Las Flores,14,40,6,71,5,4590,4385,1214,2466,1583
2016,06455,Las Flores,15,40,6,72,5,4701,4416,1206,2486,1690
2017,06455,Las Flores,15,40,6,72,5,4617,4386,1138,2434,1782
2018,06455,Las Flores,15,39,6,71,5,4603,4276,1198,2446,1811
2019,06455,Las Flores,15,39,6,73,5,5028,4861,1168,2442,1889
2020,06455,Las Flores,15,39,6,73,5,5185,4850,1170,2426,1920
2021,06455,Las Flores,15,39,6,74,5,5101,4834,1139,2431,1950
2022,06455,Las Flores,15,39,6,73,5,4971,4497,1142,2374,1917
2023,06455,Las Flores,15,39,6,74,5,5078,4770,1067,2333,1899
2011,06462,Leandro N. Alem,12,16,5,59,1,3821,3221,946,1940,1076
2012,06462,Leandro N. Alem,12,16,5,59,1,3693,3367,995,1928,1173
2013,06462,Leandro N. Alem,13,16,5,62,1,3726,3419,976,1903,1104
2014,06462,Leandro N. Alem,13,16,5,61,1,3579,3280,987,1874,1104
2015,06462,Leandro N. Alem,13,16,5,62,1,3837,3347,973,1821,1135
2016,06462,Leandro N. Alem,13,16,5,61,1,3632,3331,984,1761,1117
2017,06462,Leandro N. Alem,13,16,5,61,1,3515,3246,972,1711,1129
2018,06462,Leandro N. Alem,13,16,5,59,1,3542,3176,958,1695,1155
2019,06462,Leandro N. Alem,12,15,5,54,1,3677,3352,953,1736,1143
2020,06462,Leandro N. Alem,11,15,5,52,1,2797,2697,932,1707,1188
2021,06462,Leandro N. Alem,11,15,5,52,1,3651,3156,913,1663,1248
2022,06462,Leandro N. Alem,11,15,5,55,1,3468,3192,911,1651,1200
2023,06462,Leandro N. Alem,11,15,5,54,1,3455,3181,933,1603,1119
2012,06466,Lezama,4,12,4,25,3,975,949,309,541,572
2013,06466,Lezama,4,12,3,25,3,891,920,315,535,529
2014,06466,Lezama,4,12,3,24,3,955,883,316,525,532
2015,06466,Lezama,4,12,3,25,3,1000,911,327,520,526
2016,06466,Lezama,5,12,3,26,3,1094,945,348,499,538
2017,06466,Lezama,5,12,3,26,3,1030,962,353,498,534
2018,06466,Lezama,5,12,3,26,3,1117,983,383,505,520
2019,06466,Lezama,5,10,3,24,3,1214,1076,380,480,546
2020,06466,Lezama,5,10,3,26,3,1248,1072,373,513,544
2021,06466,Lezama,5,11,3,26,3,1582,1040,349,522,558
2022,06466,Lezama,5,11,3,27,3,1273,1120,326,530,532
2023,06466,Lezama,5,11,3,27,3,1324,1077,304,537,526
2011,06469,Lincoln,31,47,15,121,17,8392,7654,2209,4407,3174
2012,06469,Lincoln,31,47,15,122,17,8530,7664,2179,4410,3247
2013,06469,Lincoln,31,45,15,124,17,8608,7585,2175,4349,3212
2014,06469,Lincoln,31,45,15,122,17,9341,8297,2160,4276,3240
2015,06469,Lincoln,31,45,15,123,17,8569,7609,2138,4289,3316
2016,06469,Lincoln,31,45,15,124,17,9064,7841,2111,4311,3251
2017,06469,Lincoln,31,44,15,122,17,9305,8117,2122,4247,3234
2018,06469,Lincoln,31,41,16,118,16,8594,7577,2200,4145,3363
2019,06469,Lincoln,31,41,14,113,16,8948,8035,2197,4167,3514
2020,06469,Lincoln,31,41,14,110,16,8950,7919,2203,4129,3518
2021,06469,Lincoln,31,41,14,108,16,9061,7485,2114,4131,3593
2022,06469,Lincoln,31,41,14,109,16,8935,7356,2120,4067,3487
2023,06469,Lincoln,31,41,15,111,16,8612,7474,2109,4005,3385
2011,06476,Lobería,18,33,8,70,6,3612,3229,818,1911,1327
2012,06476,Lobería,18,33,8,71,6,3874,3296,814,1863,1341
2013,06476,Lobería,18,33,8,73,6,3813,3338,834,1808,1376
2014,06476,Lobería,18,33,8,75,6,3951,3324,855,1776,1381
2015,06476,Lobería,18,33,8,76,6,4163,3332,853,1739,1411
2016,06476,Lobería,19,33,8,76,6,4310,3340,893,1694,1392
2017,06476,Lobería,19,33,8,73,6,4323,3281,912,1664,1385
2018,06476,Lobería,19,32,8,72,6,4265,3341,948,1659,1380
2019,06476,Lobería,19,32,8,72,6,4264,3261,1002,1644,1303
2020,06476,Lobería,19,32,8,71,6,4084,3342,988,1618,1345
2021,06476,Lobería,19,32,8,73,6,4750,3429,947,1624,1307
2022,06476,Lobería,19,32,8,72,6,4084,3310,904,1645,1316
2023,06476,Lobería,19,32,8,75,6,4165,3463,881,1598,1226
2011,06483,Lobos,29,35,11,91,7,6815,5640,2053,4135,2550
2012,06483,Lobos,29,35,11,90,7,6885,5632,2135,4150,2915
2013,06483,Lobos,29,35,11,89,7,6755,5601,2136,4171,2746
2014,06483,Lobos,29,34,12,90,8,6698,5737,2223,4174,2869
2015,06483,Lobos,29,34,12,91,8,6887,5973,2174,4192,2928
2016,06483,Lobos,29,34,12,92,8,6920,6070,2134,4188,3058
2017,06483,Lobos,29,34,12,89,8,7045,6163,2204,4227,3132
2018,06483,Lobos,29,34,12,90,8,7232,6201,2230,4215,3170
2019,06483,Lobos,29,34,12,90,8,7681,6781,2310,4149,3277
2020,06483,Lobos,29,35,12,90,8,7498,6726,2274,4144,3282
2021,06483,Lobos,29,35,12,90,8,7484,6442,2253,4145,3352
2022,06483,Lobos,29,35,12,90,8,7552,6607,2268,4051,3443
2023,06483,Lobos,29,35,12,90,8,7499,6829,2141,3975,3390
2011,06490,Lomas de Zamora,139,175,193,386,293,99737,95175,24384,71619,56250
2012,06490,Lomas de Zamora,153,176,191,407,292,100368,96409,26658,72070,56692
2013,06490,Lomas de Zamora,152,176,188,421,292,100443,98720,27301,72698,56407
2014,06490,Lomas de Zamora,154,176,187,420,297,100759,99612,27914,73608,57142
2015,06490,Lomas de Zamora,154,177,184,415,298,101538,100541,28065,74318,56926
2016,06490,Lomas de Zamora,155,177,183,424,295,103282,102371,28613,74931,57981
2017,06490,Lomas de Zamora,157,179,183,408,296,109445,107371,28978,75493,60464
2018,06490,Lomas de Zamora,157,179,181,401,298,107510,105511,28789,75865,60540
2019,06490,Lomas de Zamora,159,179,181,408,300,109464,107399,28398,76064,61732
2020,06490,Lomas de Zamora,166,179,177,398,300,109003,106626,27700,76352,61545
2021,06490,Lomas de Zamora,164,177,176,397,295,108195,105305,24799,75654,64349
2022,06490,Lomas de Zamora,164,178,176,406,298,109816,108760,24893,74582,64058
2023,06490,Lomas de Zamora,164,178,178,410,297,107496,105388,23329,73268,64632
2011,06497,Luján,46,47,38,126,46,19288,17410,5379,11540,8038
2012,06497,Luján,46,48,34,125,46,18826,16800,5364,11533,8057
2013,06497,Luján,47,48,35,130,47,19456,17637,5426,11606,8144
2014,06497,Luján,48,48,34,131,46,19501,17648,5620,11665,8399
2015,06497,Luján,48,48,32,128,47,19017,17196,5799,11705,8500
2016,06497,Luján,49,48,34,127,50,19414,17601,5936,11766,8731
2017,06497,Luján,50,48,33,123,51,20173,17831,6052,11878,8966
2018,06497,Luján,52,48,35,124,53,20509,18382,6116,12059,9269
2019,06497,Luján,54,49,35,127,54,21165,19256,6157,12301,9743
2020,06497,Luján,54,49,34,119,54,20882,18349,6004,12467,9840
2021,06497,Luján,54,49,34,120,54,20334,18553,5705,12624,10260
2022,06497,Luján,53,49,34,120,53,19959,18478,5668,12548,10261
2023,06497,Luján,52,49,34,121,52,18951,18080,5339,12360,10118
2011,06505,Magdalena,18,23,13,74,3,3600,4231,994,1953,1193
2012,06505,Magdalena,18,23,13,74,3,3469,4412,1038,1988,1173
2013,06505,Magdalena,18,23,13,77,3,3931,4465,1038,2030,1230
2014,06505,Magdalena,18,23,13,77,3,4212,4628,1058,2075,1294
2015,06505,Magdalena,18,23,12,77,3,4122,4764,1108,2128,1298
2016,06505,Magdalena,18,23,12,77,3,4244,4870,1024,2129,1323
2017,06505,Magdalena,18,23,12,74,3,4123,5029,1072,2218,1395
2018,06505,Magdalena,18,23,12,73,3,4421,5208,1115,2307,1368
2019,06505,Magdalena,18,23,12,73,3,4518,5633,1172,2386,1402
2020,06505,Magdalena,18,23,12,71,3,4841,5406,1125,2428,1467
2021,06505,Magdalena,18,23,12,71,3,5102,5755,1067,2538,1613
2022,06505,Magdalena,20,23,12,72,3,4453,5239,1022,2547,1538
2023,06505,Magdalena,20,23,12,74,3,4377,5212,1003,2501,1578
2011,06511,Maipú,7,14,6,38,3,2001,1913,525,1132,901
2012,06511,Maipú,8,14,5,38,3,2035,1916,523,1103,880
2013,06511,Maipú,8,14,5,41,3,2057,1937,544,1076,916
2014,06511,Maipú,9,14,5,42,3,2033,1937,544,1074,915
2015,06511,Maipú,9,14,5,42,3,1999,1946,564,1041,908
2016,06511,Maipú,9,14,5,42,3,1951,2083,601,1043,916
2017,06511,Maipú,9,14,5,40,3,1996,1981,587,1038,942
2018,06511,Maipú,9,13,5,38,3,1964,1908,639,1031,971
2019,06511,Maipú,9,12,5,36,3,1877,1951,627,1054,934
2020,06511,Maipú,9,12,5,35,3,1870,1968,575,1067,970
2021,06511,Maipú,9,12,5,34,3,1779,1786,568,1089,990
2022,06511,Maipú,9,12,5,37,3,2064,2116,551,1092,997
2023,06511,Maipú,9,12,5,37,3,2190,2122,547,1058,1001
2011,06515,Malvinas Argentinas,71,81,89,151,129,42562,42017,12503,36727,27128
2012,06515,Malvinas Argentinas,70,81,85,150,127,42220,42176,12573,36740,27847
2013,06515,Malvinas Argentinas,70,81,82,155,123,42250,42350,12884,36205,28233
2014,06515,Malvinas Argentinas,75,82,82,157,127,43062,42821,13665,36343,28346
2015,06515,Malvinas Argentinas,75,82,83,159,127,43405,43529,13906,36700,28501
2016,06515,Malvinas Argentinas,75,82,82,158,126,43917,44235,13908,37190,28876
2017,06515,Malvinas Argentinas,76,81,82,158,126,44281,44745,14319,37318,29144
2018,06515,Malvinas Argentinas,77,81,83,155,127,46150,46038,14151,37545,30304
2019,06515,Malvinas Argentinas,78,81,83,158,128,46634,47511,13656,37837,30834
2020,06515,Malvinas Argentinas,79,81,83,155,128,44670,45658,13218,37699,30970
2021,06515,Malvinas Argentinas,78,81,83,156,127,45509,46085,11659,37619,32477
2022,06515,Malvinas Argentinas,78,81,83,161,126,45656,46317,11980,36741,32049
2023,06515,Malvinas Argentinas,77,81,83,157,126,44361,44817,11570,36079,31648
2011,06518,Mar Chiquita,14,25,11,73,4,3706,3328,1013,2249,1656
2012,06518,Mar Chiquita,15,25,9,73,4,3673,3424,1000,2260,1742
2013,06518,Mar Chiquita,15,25,9,73,4,3728,3485,1075,2238,1823
2014,06518,Mar Chiquita,16,25,9,76,4,3746,3414,1100,2269,1737
2015,06518,Mar Chiquita,16,25,9,76,4,3873,3498,1134,2322,1806
2016,06518,Mar Chiquita,16,25,9,75,4,3850,3637,1101,2406,1812
2017,06518,Mar Chiquita,16,25,9,75,4,3892,3684,1067,2447,1903
2018,06518,Mar Chiquita,16,25,9,72,4,4320,4070,1179,2573,2074
2019,06518,Mar Chiquita,16,26,9,73,4,4607,4396,1277,2605,2004
2020,06518,Mar Chiquita,16,26,9,72,4,4575,4319,1294,2647,2056
2021,06518,Mar Chiquita,17,26,9,74,4,4578,4465,1310,2728,2191
2022,06518,Mar Chiquita,19,26,9,78,4,4850,4512,1304,2762,2284
2023,06518,Mar Chiquita,19,26,10,81,4,6875,5859,1281,2809,2308
2011,06525,Marcos Paz,17,22,14,65,16,9467,11489,2576,6500,4643
2012,06525,Marcos Paz,18,22,13,67,16,9652,11490,2511,6632,4795
2013,06525,Marcos Paz,18,22,13,67,16,9592,11687,2653,6706,4874
2014,06525,Marcos Paz,18,22,13,66,16,9546,11731,2628,6865,4876
2015,06525,Marcos Paz,19,22,14,69,17,9650,12010,2847,6999,4694
2016,06525,Marcos Paz,20,22,14,70,17,9662,12196,2945,7056,4679
2017,06525,Marcos Paz,20,22,14,70,17,10003,12470,3150,7146,4853
2018,06525,Marcos Paz,20,23,14,72,16,10173,12667,3151,7287,5041
2019,06525,Marcos Paz,21,23,14,72,16,10359,13046,3354,7343,5081
2020,06525,Marcos Paz,21,24,14,71,17,10377,12766,3400,7504,5277
