anio,municipio_id,municipio_nombre,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2019,06042,Ayacucho,17,35,10,79,3,4827,4152,1075,2225,1582
2020,06042,Ayacucho,18,35,10,77,5,4836,4037,1141,2180,1586
2021,06042,Ayacucho,18,36,10,77,5,4895,4276,1078,2164,1701
2022,06042,Ayacucho,20,36,10,80,5,4945,4004,1075,2146,1787
2023,06042,Ayacucho,20,36,10,79,5,4666,4092,967,2138,1771
2011,06049,Azul,40,60,25,146,33,12924,11421,3501,6936,5191
2012,06049,Azul,42,59,23,149,31,13184,11695,3493,6994,5343
2013,06049,Azul,42,58,22,150,31,13438,11678,3531,6914,5314
2014,06049,Azul,43,57,23,154,31,13283,11473,3634,6832,5331
2015,06049,Azul,40,57,24,156,28,13197,11397,3466,6679,5390
2016,06049,Azul,40,56,23,155,28,13217,11738,3459,6600,5458
2017,06049,Azul,40,56,23,152,28,13237,12003,3507,6664,5463
2018,06049,Azul,39,56,23,149,28,13107,11414,3540,6563,5209
2019,06049,Azul,38,55,23,145,27,13149,11748,3478,6609,5845
2020,06049,Azul,37,55,23,139,26,13221,12003,3357,6647,6091
2021,06049,Azul,37,55,23,142,26,13253,11752,3176,6689,6094
2022,06049,Azul,37,55,23,141,26,12588,11569,3146,6602,5947
2023,06049,Azul,37,54,23,142,26,12712,11696,2998,6448,5865
2011,06056,Bahía Blanca,95,92,91,324,104,50398,46061,13184,27745,21127
2012,06056,Bahía Blanca,98,95,87,329,104,50981,46003,13923,28321,21187
2013,06056,Bahía Blanca,97,94,86,338,104,49891,46502,14065,27962,21209
2014,06056,Bahía Blanca,97,93,85,335,101,50595,46523,14491,27890,21446
2015,06056,Bahía Blanca,95,93,84,337,98,51275,47250,14555,27738,21841
2016,06056,Bahía Blanca,95,93,80,333,99,51991,47085,14684,27895,21894
2017,06056,Bahía Blanca,95,93,79,323,98,51175,47030,14974,28247,22181
2018,06056,Bahía Blanca,94,93,76,311,99,50275,47218,15118,28571,22547
2019,06056,Bahía Blanca,95,93,75,311,98,50941,47435,15055,28793,22702
2020,06056,Bahía Blanca,97,95,76,307,104,51172,47491,14493,29305,23138
2021,06056,Bahía Blanca,95,94,76,306,101,50905,46635,13336,29501,23771
2022,06056,Bahía Blanca,95,94,76,309,101,49873,46845,13335,29482,23431
2023,06056,Bahía Blanca,95,95,76,313,102,49324,46721,12865,29012,23632
2011,06063,Balcarce,29,43,19,105,15,7851,6681,2087,4392,3818
2012,06063,Balcarce,29,43,19,106,14,7722,6668,2072,4321,3815
2013,06063,Balcarce,29,43,19,107,15,7550,6670,2119,4338,3663
2014,06063,Balcarce,29,43,18,109,14,7662,6824,2126,4399,3557
2015,06063,Balcarce,32,43,19,112,15,7631,6807,2229,4289,3661
2016,06063,Balcarce,31,40,19,108,14,7742,6759,2139,4307,3586
2017,06063,Balcarce,31,40,19,106,14,8111,6727,2192,4320,3592
2018,06063,Balcarce,31,38,19,101,14,7659,6682,2290,4392,3685
2019,06063,Balcarce,31,38,19,105,13,8065,6926,2310,4496,3782
2020,06063,Balcarce,31,38,19,103,13,7740,6814,2276,4507,3780
2021,06063,Balcarce,31,38,19,105,13,8062,6787,2190,4587,3877
2022,06063,Balcarce,31,38,18,104,13,8186,7055,2155,4584,3872
2023,06063,Balcarce,31,38,18,104,13,8176,7047,2110,4527,3862
2011,06070,Baradero,25,27,16,75,17,5939,5813,1692,3798,2528
2012,06070,Baradero,26,27,15,79,16,5922,6041,1714,3808,2521
2013,06070,Baradero,26,28,14,80,17,6098,5983,1787,3787,2587
2014,06070,Baradero,26,28,14,81,17,6128,6310,1827,3733,2627
2015,06070,Baradero,27,27,14,81,17,6558,6163,1878,3779,2730
2016,06070,Baradero,27,27,14,80,17,6655,6379,1840,3783,2709
2017,06070,Baradero,27,27,14,79,17,6547,6286,1894,3725,2740
2018,06070,Baradero,28,27,14,81,17,6798,6603,1974,3803,2870
2019,06070,Baradero,28,27,15,81,17,6837,6819,1994,3804,2926
2020,06070,Baradero,28,27,15,80,17,6910,6625,1982,3788,2923
2021,06070,Baradero,29,27,15,83,17,6831,6636,1858,3799,2988
2022,06070,Baradero,29,27,15,83,17,6811,6588,1831,3767,2953
2023,06070,Baradero,28,27,15,83,16,6724,6605,1808,3728,2955
2011,06084,Benito Juárez,11,13,6,54,9,4786,5004,1029,2356,1326
2012,06084,Benito Juárez,11,13,6,48,10,4642,4664,1085,2263,1370
2013,06084,Benito Juárez,11,13,6,51,10,4680,4955,1066,2229,1405
2014,06084,Benito Juárez,11,13,6,52,9,4507,4934,1078,2181,1407
