anio,municipio_id,municipio_nombre,promocion_efectiva_primaria,promocion_efectiva_secundaria,repitencia_primaria,repitencia_secundaria,reinscripcion_primaria,reinscripcion_secundaria,abandono_interanual_primaria,abandono_interanual_secundaria,alumnos_promovidos_primaria,alumnos_promovidos_secundaria,alumnos_no_promovidos_primaria,alumnos_no_promovidos_secundaria,salidos_sin_pase_primaria,salidos_sin_pase_secundaria,salidos_con_pase_primaria,salidos_con_pase_secundaria,sobreedad_primaria,sobreedad_secundaria,sobreedad_avanzada_primaria,sobreedad_avanzada_secundaria
2016,06833,Tres Arroyos,97.89,80.98,2.23,12.94,0.41,2.01,-0.54,4.07,98.75,80.86,1.25,19.14,0.05,1.18,4.10,3.76,3.82,30.37,0.46,11.11
2017,06833,Tres Arroyos,98.02,84.14,1.88,11.99,0.20,0.82,-0.09,3.05,98.64,78.23,1.36,21.77,0.07,1.97,3.51,4.23,3.70,25.65,0.48,9.46
2018,06833,Tres Arroyos,98.25,86.19,2.16,9.12,0.27,0.55,-0.68,4.14,98.80,83.83,1.20,16.17,0.02,2.27,3.53,4.18,3.84,24.45,0.29,9.53
2019,06833,Tres Arroyos,96.61,82.91,2.42,10.17,0.28,0.63,0.69,6.30,99.04,86.84,0.96,13.16,0.02,2.31,4.17,4.71,4.16,22.11,0.46,8.22
2020,06833,Tres Arroyos,100.93,101.63,0.07,0.24,0.12,0.14,-1.12,-2.01,99.98,97.51,0.02,2.49,0.00,0.13,3.84,5.73,3.09,24.84,0.24,9.39
2021,06833,Tres Arroyos,97.56,93.07,1.75,3.78,0.36,0.19,0.33,2.96,98.80,91.11,1.20,8.89,0.09,0.66,0.89,1.45,2.37,15.35,0.17,4.31
2022,06833,Tres Arroyos,98.52,87.31,1.74,9.43,0.16,0.72,-0.42,2.53,98.37,85.50,1.63,14.50,0.10,0.66,2.99,2.21,2.53,11.06,0.14,3.04
2012,06840,Tres de Febrero,98.06,86.09,1.79,7.63,0.13,1.12,0.03,5.15,98.26,82.44,1.74,17.56,0.28,1.02,2.55,2.57,8.36,35.21,2.08,14.84
2013,06840,Tres de Febrero,97.75,84.77,1.48,8.02,0.13,1.29,0.64,5.92,98.62,81.25,1.38,18.75,0.20,1.21,2.66,2.53,7.63,30.87,1.78,13.21
2014,06840,Tres de Febrero,97.20,85.70,1.69,8.54,0.03,1.58,1.09,4.18,98.33,83.58,1.67,16.42,0.21,0.75,2.48,3.10,6.45,30.20,1.49,12.13
2015,06840,Tres de Febrero,96.48,87.14,2.04,7.56,0.08,1.76,1.41,3.54,98.05,83.38,1.95,16.62,0.26,0.33,2.58,2.26,6.38,29.46,1.41,11.48
2016,06840,Tres de Febrero,95.82,86.27,3.48,8.52,0.09,1.57,0.61,3.64,97.36,81.47,2.64,18.53,0.14,0.33,2.44,2.79,7.42,28.57,1.51,11.33
2017,06840,Tres de Febrero,95.66,84.91,3.44,10.79,0.04,1.32,0.87,2.98,97.36,82.57,2.64,17.43,0.11,0.62,2.67,2.71,6.92,25.80,1.41,9.93
2018,06840,Tres de Febrero,95.65,86.05,3.32,10.00,0.14,1.63,0.90,2.32,97.79,85.51,2.21,14.49,0.11,0.38,2.64,2.80,6.98,28.16,1.35,11.56
2019,06840,Tres de Febrero,97.11,88.46,2.48,8.87,0.07,0.83,0.35,1.84,98.11,87.71,1.89,12.29,0.16,0.26,2.77,2.74,6.32,26.11,1.24,10.24
2020,06840,Tres de Febrero,99.40,99.59,0.11,0.06,0.05,0.41,0.44,-0.06,100.00,98.14,0.00,1.86,0.01,0.16,2.56,2.72,5.16,23.37,0.93,9.35
2021,06840,Tres de Febrero,95.02,91.46,3.12,5.52,0.02,0.42,1.84,2.61,97.82,91.51,2.18,8.49,0.10,0.16,1.26,1.02,4.07,19.42,0.67,6.75
2022,06840,Tres de Febrero,97.02,89.38,2.43,7.00,0.07,0.46,0.49,3.17,97.69,87.36,2.31,12.64,0.04,0.12,2.56,2.01,5.54,19.49,0.86,6.32
2012,06847,Tres Lomas,99.72,84.44,2.34,12.12,0.55,5.10,-2.62,-1.65,96.90,82.09,3.10,17.91,0.00,6.91,5.04,6.46,16.55,40.22,2.21,18.18
2013,06847,Tres Lomas,97.91,79.49,1.40,9.62,0.28,2.82,0.42,8.08,98.57,84.23,1.43,15.77,0.00,8.21,5.72,4.12,15.22,42.05,1.82,20.26
